Gender	expertise	Success	social	develop	person
M	SRA	12	12	12	11
M	SRA	15	14	14	13
M	SRA	5	7	8	12
M	SRA	6	9	8	6
M	SRA	5	9	13	13
M	SRA	8	10	9	10
M	SRA	2	7	9	6
M	SRA	9	14	15	15
M	SRA	7	10	10	9
M	SRA	6	14	14	15
M	SRA	8	8	9	7
F	SRA	10	8	10	12
F	SRA	6	8	8	8
F	SRA	11	13	10	11
F	SRA	4	7	7	7
F	SRA	7	5	9	7
F	SRA	6	5	7	7
F	SRA	8	7	8	6
F	SRA	10	6	8	10
F	CYBER	10	12	12	10
F	CYBER	9	10	8	7
F	CYBER	10	11	9	10
F	CYBER	9	10	9	8
F	CYBER	10	7	7	8
F	CYBER	7	8	9	5
F	CYBER	14	14	13	11
F	CYBER	8	6	8	8
M	CYBER	11	6	9	10
M	CYBER	4	8	5	9
M	CYBER	13	8	8	12
M	CYBER	8	10	8	9
M	CYBER	12	10	14	10
M	CYBER	11	11	12	10
F	CYBER	9	9	12	9
F	CYBER	9	7	9	7
F	CYBER	14	8	8	4
F	CYBER	12	9	9	5
F	CYBER	14	8	6	7
F	CYBER	13	12	11	11
F	CYBER	6	8	3	6
